Epsilon,Min_Pts,Clusters,Noise,Noise_%,Silhouette
0.0181,3,0,1500,100.0%,—
0.0181,5,0,1500,100.0%,—
0.0181,7,0,1500,100.0%,—
0.0181,10,0,1500,100.0%,—
0.0259,3,2,1494,99.6%,—
0.0259,5,0,1500,100.0%,—
0.0259,7,0,1500,100.0%,—
0.0259,10,0,1500,100.0%,—
0.0337,3,5,1485,99.0%,—
0.0337,5,0,1500,100.0%,—
0.0337,7,0,1500,100.0%,—
0.0337,10,0,1500,100.0%,—
0.0414,3,9,1472,98.1%,—
0.0414,5,0,1500,100.0%,—
0.0414,7,0,1500,100.0%,—
0.0414,10,0,1500,100.0%,—
0.0492,3,21,1432,95.5%,—
0.0492,5,0,1500,100.0%,—
0.0492,7,0,1500,100.0%,—
0.0492,10,0,1500,100.0%,—
0.0569,3,31,1391,92.7%,—
0.0569,5,1,1495,99.7%,—
0.0569,7,0,1500,100.0%,—
0.0569,10,0,1500,100.0%,—
0.0647,3,55,1297,86.5%,0.6326
0.0647,5,2,1490,99.3%,—
0.0647,7,0,1500,100.0%,—
0.0647,10,0,1500,100.0%,—
0.0725,3,74,1196,79.7%,0.5742
0.0725,5,8,1458,97.2%,—
0.0725,7,0,1500,100.0%,—
0.0725,10,0,1500,100.0%,—
