,PC1,PC2,PC3
total_time_min_scaled,0.24600177464721654,0.6746554961306884,-0.033309212348819436
pieces_started_scaled,-0.41970533625480066,0.35502172718452363,0.00903204282812382
completion_depth_avg_scaled,0.3877496555387567,0.36423623619271356,-0.5626250395413607
complementary_interactions_scaled,0.4319608199329827,0.10040944944111992,0.6059748053997019
thematic_diversity_scaled,-0.4206655988228784,0.3236718465347281,0.15524839380407365
pause_count_scaled,-0.40875317288878776,0.302435754916993,0.043020481491564594
moment_of_activity_afternoon,0.008384820981572547,0.1492816723023639,0.2664026441976796
moment_of_activity_evening,-0.1083009519045489,-0.04948643910539398,-0.06848684797311744
moment_of_activity_late_night,0.0065728499855324226,-0.08924965934885175,-0.09020189672200918
moment_of_activity_morning,0.09334328093744387,-0.010545573848118009,-0.10771389950255275
device_type_desktop,0.1585804337035817,0.15292786221900412,0.09122618006935669
device_type_mobile,-0.14961433549764425,-0.13341642711520144,-0.3397288307104185
device_type_tablet,-0.008966098205937528,-0.019511435103802502,0.2485026506410628
used_recommendations,0.11909552370229397,0.07375896592273927,-0.09062421227114607
